tool_id,module,status,first_failure_line,has_mcp_tool_decorator,is_async_function,calls_asyncio_to_thread,imports_helper_correctly,helper_file_exists,helper_function_exists,helper_is_sync,no_mcp_tool_in_server,tool_in_expected_list,tool_registered,signature_has_parameters,no_envelop_wrapper,returns_correct_type
analyze_code,src/code_scalpel/mcp/tools/analyze.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
crawl_project,src/code_scalpel/mcp/tools/context.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
get_file_context,src/code_scalpel/mcp/tools/context.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
get_symbol_references,src/code_scalpel/mcp/tools/context.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
extract_code,src/code_scalpel/mcp/tools/extraction.py,FAIL,33,True,True,True,True,True,True,False,True,True,True,True,True,True
rename_symbol,src/code_scalpel/mcp/tools/extraction.py,FAIL,113,True,True,True,True,True,True,False,True,True,True,True,True,True
update_symbol,src/code_scalpel/mcp/tools/extraction.py,FAIL,163,True,True,True,True,True,True,False,True,True,True,True,True,True
validate_paths,src/code_scalpel/mcp/tools/policy.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
verify_policy_integrity,src/code_scalpel/mcp/tools/policy.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
code_policy_check,src/code_scalpel/mcp/tools/policy.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
unified_sink_detect,src/code_scalpel/mcp/tools/security.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
type_evaporation_scan,src/code_scalpel/mcp/tools/security.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
scan_dependencies,src/code_scalpel/mcp/tools/security.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
security_scan,src/code_scalpel/mcp/tools/security.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
symbolic_execute,src/code_scalpel/mcp/tools/symbolic.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
generate_unit_tests,src/code_scalpel/mcp/tools/symbolic.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
simulate_refactor,src/code_scalpel/mcp/tools/symbolic.py,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True
