language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
python,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
python,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
python,rename_symbol,Y,medium,8,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher language support plus per-language rename semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"rename safety depends on symbol-boundary accuracy and reference updates, not just parsing"
python,update_symbol,Y,medium,7,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher and language-aware replacement semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,safe patching needs robust per-language rewrite semantics and post-save verification
python,security_scan,Y,high,10,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,language-specific taint/source/sink/sanitizer models,implemented,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,real vulnerability analysis becomes expensive once each language/framework needs distinct taint rules
python,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
python,cross_file_security_scan,Y,very_high,14,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,import/call graph plus taint flow plus framework models,implemented,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,cross-file taint is one of the hardest semantic engines to generalize
python,symbolic_execute,Y,very_high,15,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,new symbolic execution frontend per language,implemented,not a graph-runtime tool,,none,current engine is explicitly Python-specific
python,generate_unit_tests,Y,very_high,16,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,symbolic frontend plus per-language test generators,implemented,not a graph-runtime tool,,none,"capability metadata claims broader frameworks, but runtime is still Python-specific"
python,simulate_refactor,Y,very_high,13,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,AST diffing plus behavior simulation plus optional type checking per language,implemented,not a graph-runtime tool,,JS/TS -> Java -> C# -> C/C++,"safe refactor simulation needs language-aware structure, typing, and behavior heuristics"
python,crawl_project,Y,medium,9,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,discovery helpers plus per-language file summarizers,implemented,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
python,get_file_context,Y,medium,6,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,file summarization helpers plus language-specific structure extraction,implemented,not a graph-runtime tool,,JS/TS -> Java -> Go/Rust/PHP/Ruby,"overview is broad, but good summaries for functions/classes/imports need per-language shape support"
python,get_symbol_references,Y,medium,2,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,shared graph runtime plus import resolution plus symbol indexing,Level 5: path-query and confidence parity,Level 5: path-query and confidence parity,,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,"reference quality depends on symbol identity, import handling, and call categorization"
python,get_call_graph,Y,medium,5,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,shared call-graph builder plus file discovery plus canonical node IDs,Level 5: path-query and confidence parity,Level 5: path-query and confidence parity,,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++",local same-file edges are cheap; import-aware and typed cross-file semantics are still costly
python,get_graph_neighborhood,Y,medium,1,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,get_call_graph parity plus canonical node IDs plus neighborhood extraction,Level 5: path-query and confidence parity,Level 5: path-query and confidence parity,,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust",best ROI comes after call-graph expansion because neighborhood quality inherits node quality
python,get_cross_file_dependencies,Y,high,4,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,graph runtime plus import resolution plus dependency chain assembly,Level 5: path-query and confidence parity,Level 5: path-query and confidence parity,,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,runtime is relatively simple only after call-graph and confidence scoring are solid
python,get_project_map,Y,medium_high,3,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,module discovery plus graph-derived relationships,Level 5: path-query and confidence parity,Level 5: path-query and confidence parity,,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,language totals are easy; relationship maps need graph/runtime parity
python,type_evaporation_scan,P,medium_high,12,supported backend alongside TS/JS frontend,"Keep backend route and payload correlation stable, add backend fixture coverage, and avoid broadening scope beyond TS/JS frontend to Python backend without a separate roadmap.",Python backend endpoint model,cross-boundary contract parity,not a graph-runtime tool,2,none,"the backend half is important, but the tool is intentionally narrow in scope"
python,scan_dependencies,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,manifest parser coverage by ecosystem,language-agnostic,not a graph-runtime tool,,none,source language matters less than package-manager support
python,validate_paths,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic path validation
python,verify_policy_integrity,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic cryptographic verification
python,code_policy_check,A,medium,11,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,policy rule libraries and language-specific rule packs where deeper parity is desired,language-agnostic,not a graph-runtime tool,,JS/TS -> Java -> Python rule enrichment,"the engine is generic, but meaningful parity depends on per-language rules"
